ADRIAN PETERSON,MIN,RB,1.9
LESEAN MCCOY,PHI,RB,2.8
JAMAAL CHARLES,KC,RB,3.6
PEYTON MANNING,DEN,QB,5.1
MATT FORTE,CHI,RB,6.0
MARSHAWN LYNCH,SEA,RB,6.7
CALVIN JOHNSON,DET,WR,7.0
EDDIE LACY,GB,RB,8.6
AARON RODGERS,GB,QB,10.7
JIMMY GRAHAM,NO,TE,11.3
ARIAN FOSTER,HOU,RB,12.7
DREW BREES,NO,QB,13.4
DEMARYIUS THOMAS,DEN,WR,14.3
DOUG MARTIN,TB,RB,15.5
A.J. GREEN,CIN,WR,16.2
DEZ BRYANT,DAL,WR,17.4
DEMARCO MURRAY,DAL,RB,18.7
ZAC STACY,STL,RB,19.2
BRANDON MARSHALL,CHI,WR,19.9
JULIO JONES,ATL,WR,22.8
LE'VEON BELL,PIT,RB,22.8
ALFRED MORRIS,WSH,RB,25.3
JORDY NELSON,GB,WR,25.4
ALSHON JEFFERY,CHI,WR,27.3
JULIUS THOMAS,DEN,TE,29.2
MONTEE BALL,DEN,RB,29.6
ANTONIO BROWN,PIT,WR,30.9
REGGIE BUSH,DET,RB,31.3
GIOVANI BERNARD,CIN,RB,31.3
RANDALL COBB,GB,WR,33.9
ROB GRONKOWSKI,NE,TE,34.4
ANDRE JOHNSON,HOU,WR,35.8
MATTHEW STAFFORD,DET,QB,36.3
CAM NEWTON,CAR,QB,37.1
LARRY FITZGERALD,ARI,WR,37.2
VINCENT JACKSON,TB,WR,38.8
ANDREW LUCK,IND,QB,40.1
FRANK GORE,SF,RB,40.2
BEN TATE,CLE,RB,40.5
DESEAN JACKSON,WSH,WR,42.0
PIERRE GARCON,WSH,WR,44.8
C.J. SPILLER,BUF,RB,44.8
VERNON DAVIS,SF,TE,45.1
RYAN MATHEWS,SD,RB,45.7
WES WELKER,DEN,WR,46.0
VICTOR CRUZ,NYG,WR,47.5
KEENAN ALLEN,SD,WR,47.5
RODDY WHITE,ATL,WR,51.5
SEAHAWKS D/ST,SEAHAWKS,D/ST,51.6
ANDRE ELLINGTON,ARI,RB,52.7
ROBERT GRIFFIN III,WSH,QB,53.7
PERCY HARVIN,SEA,WR,53.9
TRENT RICHARDSON,IND,RB,54.4
JASON WITTEN,DAL,TE,58.0
MICHAEL CRABTREE,SF,WR,58.6
CHRIS JOHNSON,NYJ,RB,59.0
RASHAD JENNINGS,NYG,RB,59.1
RAY RICE,BAL,RB,59.8
NICK FOLES,PHI,QB,60.4
COLIN KAEPERNICK,SF,QB,61.9
TOBY GERHART,JAC,RB,62.9
TOM BRADY,NE,QB,64.9
TORREY SMITH,BAL,WR,65.2
JORDAN CAMERON,CLE,TE,69.9
CORDARRELLE PATTERSON,MIN,WR,70.1
T.Y. HILTON,IND,WR,70.4
JULIAN EDELMAN,NE,WR,71.3
STEVEN JACKSON,ATL,RB,72.1
RUSSELL WILSON,SEA,QB,73.2
MICHAEL FLOYD,ARI,WR,73.4
SHANE VEREEN,NE,RB,74.8
JEREMY MACLIN,PHI,WR,74.9
JOIQUE BELL,DET,RB,76.3
SAMMY WATKINS,BUF,WR,76.6
PANTHERS D/ST,PANTHERS,D/ST,77.2
BISHOP SANKEY,TEN,RB,77.3
STEVAN RIDLEY,NE,RB,77.7
REGGIE WAYNE,IND,WR,79.7
MARQUES COLSTON,NO,WR,80.7
GREG OLSEN,CAR,TE,82.0
GOLDEN TATE,DET,WR,83.4
49ERS D/ST,49ERS,D/ST,84.0
EMMANUEL SANDERS,DEN,WR,85.2
MAURICE JONES-DREW,OAK,RB,87.8
ERIC DECKER,NYJ,WR,88.1
MATT RYAN,ATL,QB,88.7
MIKE WALLACE,MIA,WR,90.3
PIERRE THOMAS,NO,RB,91.2
MATT PRATER,DEN,K,91.7
BRONCOS D/ST,BRONCOS,D/ST,92.2
KENDALL WRIGHT,TEN,WR,94.8
ANQUAN BOLDIN,SF,WR,95.7
TERRANCE WILLIAMS,DAL,WR,97.9
DARREN SPROLES,PHI,RB,98.1
DANNY WOODHEAD,SD,RB,100.1
DENNIS PITTA,BAL,TE,101.0
FRED JACKSON,BUF,RB,101.9
CECIL SHORTS,JAC,WR,103.7
TONY ROMO,DAL,QB,104.5
KNOWSHON MORENO,MIA,RB,105.1
CHRIS IVORY,NYJ,RB,105.6
STEPHEN GOSTKOWSKI,NE,K,105.7
DEANGELO WILLIAMS,CAR,RB,105.9
PHILIP RIVERS,SD,QB,106.2
DEANDRE HOPKINS,HOU,WR,108.2
RILEY COOPER,PHI,WR,111.5
KYLE RUDOLPH,MIN,TE,111.5
JAY CUTLER,CHI,QB,111.5
DWAYNE BOWE,KC,WR,111.6
KHIRY ROBINSON,NO,RB,112.7
LAMAR MILLER,MIA,RB,113.3
JOHNNY MANZIEL,CLE,QB,113.3
BERNARD PIERCE,BAL,RB,113.8
CARDINALS D/ST,CARDINALS,D/ST,114.6
DANNY AMENDOLA,NE,WR,114.8
HAKEEM NICKS,IND,WR,117.8
CHIEFS D/ST,CHIEFS,D/ST,118.6
MARTELLUS BENNETT,CHI,TE,119.0
JORDAN REED,WSH,TE,120.1
JUSTIN TUCKER,BAL,K,120.9
BRANDIN COOKS,NO,WR,121.1
ANDY DALTON,CIN,QB,121.6
RAMS D/ST,RAMS,D/ST,122.7
ALEX SMITH,KC,QB,122.8
DARREN MCFADDEN,OAK,RB,123.3
GREG JENNINGS,MIN,WR,123.4
ANTONIO GATES,SD,TE,123.4
MARK INGRAM,NO,RB,123.5
TRE MASON,STL,RB,123.8
BENGALS D/ST,BENGALS,D/ST,124.9
ELI MANNING,NYG,QB,125.4
STEVE SMITH,BAL,WR,126.4
JOE FLACCO,BAL,QB,127.2
BEN ROETHLISBERGER,PIT,QB,127.5
MIKE EVANS,TB,WR,127.7
PATRIOTS D/ST,PATRIOTS,D/ST,127.8
SHONN GREENE,TEN,RB,128.0
MASON CROSBY,GB,K,130.1
STEVEN HAUSCHKA,SEA,K,130.5
MICHAEL VICK,NYJ,QB,131.3
CHRISTINE MICHAEL,SEA,RB,131.9
CARLOS HYDE,SF,RB,131.9
KELVIN BENJAMIN,CAR,WR,131.9
BEARS D/ST,BEARS,D/ST,132.4
CARSON PALMER,ARI,QB,132.9
TAVON AUSTIN,STL,WR,133.0
ZACH ERTZ,PHI,TE,133.2
RYAN TANNEHILL,MIA,QB,133.3
JEREMY HILL,CIN,RB,133.4
ERIC EBRON,DET,TE,133.8
HEATH MILLER,PIT,TE,134.3
DONALD BROWN,SD,RB,135.0
LEGARRETTE BLOUNT,PIT,RB,135.2
STEELERS D/ST,STEELERS,D/ST,135.2
JOSH GORDON,CLE,WR,135.4
TEXANS D/ST,TEXANS,D/ST,136.3
ANDRE WILLIAMS,NYG,RB,137.1
TERRANCE WEST,CLE,RB,137.2
JUSTIN HUNTER,TEN,WR,137.3
JAMES JONES,OAK,WR,137.8
JOSH MCCOWN,TB,QB,137.8
CHARLES CLAY,MIA,TE,139.1
RUEBEN RANDLE,NYG,WR,139.7
COBY FLEENER,IND,TE,139.7
DEVONTA FREEMAN,ATL,RB,139.8
SAINTS D/ST,SAINTS,D/ST,140.9
PHIL DAWSON,SF,K,141.3
RAVENS D/ST,RAVENS,D/ST,141.7
JAMES STARKS,GB,RB,142.1
STEVE JOHNSON,SF,WR,142.1
LADARIUS GREEN,SD,TE,142.1
DOUG BALDWIN,SEA,WR,142.7
ADAM VINATIERI,IND,K,143.5
BILLS D/ST,BILLS,D/ST,143.7
BROWNS D/ST,BROWNS,D/ST,144.0
JARRETT BOYKIN,GB,WR,144.8
C.J. ANDERSON,DEN,RB,145.1
KNILE DAVIS,KC,RB,145.2
MARKUS WHEATON,PIT,WR,145.4
KENNY STILLS,NO,WR,145.5
ANDRE BROWN,HOU,RB,146.4
ROBBIE GOULD,CHI,K,147.1
ROY HELU,WSH,RB,147.1
BRANDON LAFELL,NE,WR,147.1
BUCCANEERS D/ST,BUCCANEERS,D/ST,147.2
LATAVIUS MURRAY,OAK,RB,147.2
NICK NOVAK,SD,K,148.4
BLAIR WALSH,MIN,K,148.6
DAN BAILEY,DAL,K,149.2
DELANIE WALKER,TEN,TE,149.2
SHAYNE GRAHAM,NO,K,150.7
MATT BRYANT,ATL,K,151.9
NICK FOLK,NYJ,K,154.1
DAVID WILSON,"*, NYG",RB,170.0
MARVIN JONES,CIN,WR,170.0
JONATHAN STEWART,CAR,RB,170.0
ODELL BECKHAM,NYG,WR,170.0
BRIAN HARTLINE,MIA,WR,170.0
ANDREW HAWKINS,CLE,WR,170.0
SEBASTIAN JANIKOWSKI,OAK,K,170.0
